epoch;time;train/box_loss;train/cls_loss;train/dfl_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;lr/pg0;lr/pg1;lr/pg2
38;2158.14;0.41512;0.3538;0.9598;0.92813;0.8525;0.92524;0.78718;0.70475;0.56673;1.00284;0.000382115;0.000382115;0.000382115
39;2217.2;0.41067;0.35214;0.95856;0.88528;0.87184;0.92244;0.79324;0.67881;0.56661;0.98474;0.00035382;0.00035382;0.00035382
40;2275.64;0.40861;0.34284;0.95685;0.88838;0.86811;0.92657;0.80965;0.67468;0.53953;0.98148;0.000325526;0.000325526;0.000325526
41;2334.33;0.40912;0.32835;0.96628;0.92166;0.88335;0.92361;0.79612;0.68119;0.55431;1.00085;0.000297232;0.000297232;0.000297232
42;2392.13;0.40041;0.31768;0.96302;0.90856;0.86334;0.9097;0.78323;0.67472;0.58408;0.99832;0.000268938;0.000268938;0.000268938
43;2449.71;0.39625;0.30841;0.95779;0.91161;0.87092;0.92408;0.8042;0.65941;0.54555;0.98068;0.000240644;0.000240644;0.000240644
44;2507.34;0.39892;0.30607;0.95621;0.88771;0.88808;0.92147;0.80499;0.66724;0.55117;0.98683;0.000212349;0.000212349;0.000212349
45;2565.08;0.39099;0.30326;0.9553;0.90727;0.88346;0.92411;0.80853;0.65257;0.5229;0.97416;0.000184055;0.000184055;0.000184055
46;2622.6;0.39082;0.2956;0.95416;0.93034;0.87041;0.92949;0.8076;0.63459;0.50868;0.95825;0.000155761;0.000155761;0.000155761
47;2680.4;0.38048;0.28642;0.94707;0.91951;0.89162;0.93121;0.80971;0.6455;0.50905;0.9619;0.000127467;0.000127467;0.000127467
48;2738.18;0.38072;0.28343;0.95036;0.90018;0.89333;0.93014;0.81254;0.63845;0.51383;0.95879;9.91726e-05;9.91726e-05;9.91726e-05
49;2795.63;0.37553;0.28014;0.94519;0.89575;0.90442;0.93407;0.8166;0.63679;0.50076;0.95741;7.08784e-05;7.08784e-05;7.08784e-05
50;2853.41;0.37497;0.2775;0.94531;0.90583;0.89771;0.93168;0.82033;0.63467;0.50142;0.95543;4.25842e-05;4.25842e-05;4.25842e-05
